U. DE ACONCAGUA;Rancagua 446, Los Andes, Los Andes;www.uac.cl;
U. DE ACONCAGUA;Carretera el Cobre Pdte Eduardo Frei, Machalí, VI Región;www.uac.cl;
U. DE ACONCAGUA;Egaña 248, Puerto Montt, Llanquihue;www.uac.cl;
U. DE ACONCAGUA;21 de Mayo 694, San Antonio, San Antonio;www.uac.cl;
U. DE ACONCAGUA;Prat 53, San Felipe, San Felipe;www.uac.cl;
U. DE ACONCAGUA;Padre Miguel de Olivares 1625, Santiago, Santiago;www.uac.cl;
U. DE ACONCAGUA;Arturo Prat 728, Temuco, Cautín;www.uac.cl;
U. DE ACONCAGUA;Freire 1312, Tocopilla, Tocopilla;www.uac.cl;
U. DE ACONCAGUA;Camilo Henriquez 442, Valdivia, Valdivia;www.uac.cl;
U. DE ACONCAGUA;Prat 1560, Vallenar, Huasco;www.uac.cl;
U. DE ACONCAGUA;Alvarez 2228, Viña del Mar, Valparaíso;www.uac.cl;
U. DE ANTOFAGASTA;Av. Angamos 601, Antofagasta, Antofagasta;www.uantof.cl;
U. DE ARTE Y CIENCIAS SOCIALES ARCIS;Diagonal Pedro Aguirre Cerda 1249, Concepción, Concepción;www.uarcis.cl;
U. DE ARTE Y CIENCIAS SOCIALES ARCIS;Huérfanos 1710, Santiago, Santiago;www.uarcis.cl;
U. DE ARTES, CIENCIAS Y COMUNICACIÓN UNIACC;Av. Salvador 1200, Providencia, Santiago;www.uniacc.cl;
U. DE ATACAMA;Av. Copayapu 485, Copiapó, Copiapó;www.uda.cl;
U. DE ATACAMA;Ramírez 961, Vallenar, Huasco;www.uda.cl;
U. DE CHILE;Av. Libertador B. O`Higgins 1058, Santiago, Santiago;www.uchile.cl;
U. DE CONCEPCIÓN;Vicente Méndez 595, Chillán, Ñuble;www.udec.cl;
U. DE CONCEPCIÓN;Víctor Lamas 1290, Concepción, Concepción;www.udec.cl;
U. DE CONCEPCIÓN;J. A. Coloma 0201, Los Ángeles, Biobío;www.udec.cl;
U. DE LA FRONTERA;Caupolicán 78, Pucón, Cautín;www.ufro.cl;
U. DE LA FRONTERA;Av. Francisco Salazar 01145, Temuco, Cautín;www.ufro.cl;
U. DE LA SERENA;Benavente 980, La Serena;www.userena.cl;
U. DE LAS AMÉRICAS;Chacabuco 539, Concepción, Concepción;www.uamericas.cl;
U. DE LAS AMÉRICAS;Manuel Montt 948, Providencia, Santiago;www.uamericas.cl;
U. DE LAS AMÉRICAS;Av. Libertad 1348, Viña del Mar, Valparaíso;www.uamericas.cl;
U. DE LOS ANDES;Av. San Carlos de Apoquindo 2200, Santiago, Santiago;www.uandes.cl;
U. DE LOS LAGOS;x;www.ulagos.cl;
U. DE LOS LAGOS;Av. Fuschlocher 1305, Osorno, Osorno;www.ulagos.cl;
U. DE LOS LAGOS;Varas 178, Puerto Montt, Llanquihue;www.ulagos.cl;
U. DE LOS LAGOS;República 517, Santiago, Santiago;www.ulagos.cl;
U. DE MAGALLANES;Puerto Bories 13-B, Puerto Natales;www.umag.cl;
U. DE MAGALLANES;Av. Bulnes 01855, Punta Arenas, Magallanes;www.umag.cl;
U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN;Benigno Caldera 341, San Felipe, San Felipe;www.upla.cl;
U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN;Av. Playa Ancha 850, Valparaíso, Valparaíso;www.upla.cl;
U. DE SANTIAGO DE CHILE;Av. Libertador B. O`Higgins 3363, Santiago, Santiago;www.usach.cl;
U. DE TALCA;Camino los Niches S/N, Curicó, Curicó;www.utalca.cl;
U. DE TALCA;Quebec 415, Providencia, Santiago;www.utalca.cl;
U. DE TALCA;2 Norte, Talca, Talca;www.utalca.cl;
U. DE TARAPACÁ;General Velásquez 1775, Arica, Arica;www.uta.cl;
U. DE TARAPACÁ;Av. Luis Emilio Recabarren 2477, Iquique, Iquique;www.uta.cl;
U. DE VALPARAÍSO;La Troya esquina El Convento S/N, San Felipe;www.uv.cl;
U. DE VALPARAÍSO;Gran Avenida José Miguel Carrera 4160, San Miguel, Santiago;www.uv.cl;
U. DE VALPARAÍSO;Blanco 951, Valparaíso;www.uv.cl;
U. DE VALPARAÍSO;x;x;
U. DE VIÑA DEL MAR;Diego Portales 90, Viña del Mar, Valparaíso;www.uvm.cl;
U. DEL BÍO-BÍO;Av. Andrés Bello S/N, Chillán, Ñuble;www.ubiobio.cl;
U. DEL BÍO-BÍO;Av. Collao 1202, Concepción, Concepción;www.ubiobio.cl;
U. DEL DESARROLLO;Ainavillo 456, Concepción, Concepción;www.udd.cl;
U. DEL DESARROLLO;Av. Las Condes 12438, Lo Barnechea, Santiago;www.udd.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL MAR;x;www.udelmar.cl;
U. DEL PACÍFICO;Av. Las Condes 11121, Las Condes, Santiago;www.upacifico.cl;
U. DEL PACÍFICO;Av. José Massoud 533, Melipilla, Región Metropolitana;www.upacifico.cl;
U. DIEGO PORTALES;Av. Manuel Rodríguez Sur 415, Santiago, Santiago;www.udp.cl;
U. FINIS TERRAE;Pedro de Valdivia 1509, Providencia, Santiago;www.uft.cl;
U. GABRIELA MISTRAL;Av. Ricardo Lyon 1177, Providencia, Santiago;www.ugm.cl;
U. GABRIELA MISTRAL;Purísima 737, Puerto Varas, Llanquihue;www.ugm.cl;
U. IBEROAMERICANA DE CIENCIAS Y TECNOLOGÍA;Padre Miguel de Olivares 1620, Santiago, Santiago;www.uibero.cl;
U. INTERNACIONAL SEK;Av. José Arrieta 10000, Peñalolén, Santiago;www.uisek.cl;
U. LA ARAUCANA;Av. Nueva Tajamar 481, Las Condes, Santiago;www.ulaaraucana.cl;
U. LA REPÚBLICA;Washington 2577, Antofagasta, Antofagasta;www.ulare.cl;
U. LA REPÚBLICA;Ramirez 2222, Calama, El Loa;www.ulare.cl;
U. LA REPÚBLICA;Mendoza 156, Los Ángeles, Biobío;www.ulare.cl;
U. LA REPÚBLICA;Bernardo Cuevas 51, Rancagua, Cachapoal;www.ulare.cl;
U. LA REPÚBLICA;Chacabuco 740 Interior, San Fernando, Colchagua;www.ulare.cl;
U. LOS LEONES;República 78, Santiago, Santiago;www.uleones.com;
U. MAYOR;Américo Vespucio Sur 357, Las Condes, Santiago;www.umayor.cl;
U. MAYOR;Av. Alemania 0281, Temuco, Cautín;www.umayor.cl;
U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN;Av. J. P. Alessandri 774, Santiago, Santiago;www.umce.cl;
U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN;x;x;
U. MIGUEL DE CERVANTES;Enrique Mac Iver 370, Santiago, Santiago;www.umcervantes.cl;
U. PEDRO DE VALDIVIA;Av. Croacia 0262, Antofagasta, Antofagasta;www.upv.cl;
U. PEDRO DE VALDIVIA;Constitución 484, Chillán, Ñuble;www.upv.cl;
U. PEDRO DE VALDIVIA;Av. Pedro de Valdivia 1585, Concepción, Concepción;www.upv.cl;
U. PEDRO DE VALDIVIA;Av. Cuatro Esquinas 060, La Serena, Elqui;www.upv.cl;
U. PEDRO DE VALDIVIA;Av. Tobalaba 1275, Santiago, Santiago;www.upv.cl;
U. SAN SEBASTIÁN;General Cruz 1577, Concepción, Concepción;www.uss.cl;
U. SAN SEBASTIÁN;Pilauco S/N, Osorno, Osorno;www.uss.cl;
U. SAN SEBASTIÁN;Lago Panguipulli 1390, Panamericana Norte, Puerto Montt, Llanquihue;www.uss.cl;
U. SAN SEBASTIÁN;Av. Ricardo Cumming 40, Santiago, Santiago;www.uss.cl;
U. SAN SEBASTIÁN;General Lagos 1140, Valdivia, Valdivia;www.uss.cl;
U. SANTO TOMÁS;Prat 837, Antofagasta, Antofagasta;www.ust.cl;
U. SANTO TOMÁS;Pasaje Sangra 350, Arica, Arica;www.ust.cl;
U. SANTO TOMÁS;Prat 855, Concepción, Concepción;www.ust.cl;
